packet_size,window_size,throughput,throughput_err,lost_bytes,lost_bytes_err,lost_packets,lost_packets_err
512,4,133.498773634,4.74953241716,16384.0,6730.41478662,32.0,13.1453413801
512,8,258.928951839,10.7342914315,6553.6,2006.62199729,12.8,3.91918358845
512,16,425.391922009,33.8727902238,37683.2,25169.5783866,73.6,49.1593327864
512,32,744.498679906,72.7748203396,111411.2,37931.7023631,217.6,74.0853561779
512,64,503.782918904,40.6647753024,1297612.8,175362.384334,2534.4,342.504656903
512,128,373.423722108,64.0985129232,4696268.8,1084679.73254,9172.4,2118.51510261
512,256,287.493647296,37.2794685508,19376844.8,3205957.63378,37845.4,6261.63600347
512,512,338.030931956,39.6110290016,10582016.0,2841432.29891,20668.0,5549.6724588
512,1024,196.529091543,64.9086870539,27323596.8,9539326.5489,53366.4,18631.4971658
